Released	Set
1993-08 	Limited Edition Alpha
1993-10 	Limited Edition Beta
1993-12 	Unlimited Edition 
1993-12 	Arabian Nights 
1994-03 	Antiquities 
1994-04 	Revised Edition 
1994-06 	Legends 
1994-08 	The Dark 
1994-11 	Fallen Empires 
1995-05 	Fourth Edition 
1995-06 	Ice Age 
1995-07 	Chronicles 
1995-10 	Homelands 
1996-06 	Alliances 
1996-10 	Mirage 
1997-02 	Visions 
1997-03 	Fifth Edition 
1997-05 	Portal 
1997-06 	Weatherlight 
1997-10 	Tempest 
1998-02 	Stronghold 
1998-06 	Exodus 
1998-06 	Portal Second Age 
1998-08 	Unglued 
1998-10 	'Urza''s Saga '
1998-11 	Anthologies 
1999-02 	'Urza''s Legacy '
1999-04 	Classic Sixth Edition 
1999-06 	'Urza''s Destiny '
1999-07 	Portal Three Kingdoms 
1999-08 	Starter 1999 
1999-09 	Mercadian Masques 
1999-11 	Battle Royale Box Set
2000-02 	Nemesis 
2000-04 	Starter 2000 
2000-06 	Prophecy 
2000-09 	Invasion 
2000-10 	Beatdown Box Set
2001-01 	Planeshift 
2001-04 	Seventh Edition 
2001-05 	Apocalypse 
2001-10 	Odyssey 
2001-12 	Deckmasters 2001 
2002-02 	Torment 
2002-05 	Judgment 
2002-10 	Onslaught 
2003-01 	Legions 
2003-05 	Scourge 
2003-07 	Eighth Edition 
2003-10 	Mirrodin 
2004-02 	Darksteel 
2004-06 	Fifth Dawn 
2004-10 	Champions of Kamigawa 
2004-11 	Unhinged 
2005-02 	Betrayers of Kamigawa 
2005-06 	Saviors of Kamigawa 
2005-07 	Ninth Edition 
2005-10 	Ravnica: City of Guilds 
2006-02 	Guildpact 
2006-05 	Dissension 
2006-07 	Coldsnap 
2006-10 	"Time Spiral ""Timeshifted"""
2006-10 	Time Spiral 
2007-02 	Planar Chaos 
2007-05 	Future Sight 
2007-07 	Tenth Edition 
2007-09 	Masters Edition 
2007-10 	Lorwyn 
2007-11 	Duel Decks: Elves vs. Goblins 
2008-02 	Morningtide 
2008-05 	Shadowmoor 
2008-06 	Eventide 
2008-08 	From the Vault: Dragons 
2008-09 	Masters Edition II 
2008-09 	Shards of Alara 
2008-11 	Duel Decks: Jace vs. Chandra 
2009-02 	Conflux 
2009-04 	Duel Decks: Divine vs. Demonic 
2009-04 	Alara Reborn 
2009-07 	Magic 2010 
2009-08 	From the Vault: Exiled 
2009-09 	Planechase
2009-09 	Masters Edition III 
2009-10 	Zendikar 
2009-10 	Duel Decks: Garruk vs. Liliana 
2009-11 	Premium Deck Series: Slivers 
2010-02 	Worldwake 
2010-03 	Duel Decks: Phyrexia vs. The Coalition 
2010-04 	Rise of the Eldrazi 
2010-06 	Duels of the Planeswalkers 
2010-06 	Archenemy 
2010-07 	Magic 2011 
2010-08 	From the Vault: Relics 
2010-09 	Duel Decks: Elspeth vs. Tezzeret 
2010-10 	Scars of Mirrodin 
2010-11 	Premium Deck Series: Fire & Lightning 
2011-01 	Masters Edition IV 
2011-02 	Mirrodin Besieged 
2011-04 	Duel Decks: Knights vs. Dragons 
2011-05 	New Phyrexia 
2011-06 	Commander
2011-07 	Magic 2012 
2011-08 	From the Vault: Legends 
2011-09 	Duel Decks: Ajani vs. Nicol Bolas 
2011-09 	Innistrad 
2011-11 	Premium Deck Series: Graveborn 
2012-02 	Dark Ascension 
2012-03 	Duel Decks: Venser vs. Koth 
2012-05 	Avacyn Restored 
2012-05 	Planechase 2012 Edition 
2012-07 	Magic 2013 
2012-08 	From the Vault: Realms 
2012-09 	Duel Decks: Izzet vs. Golgari 
2012-10 	Return to Ravnica 
2012-11 	'Commander''s Arsenal '
2013-02 	Gatecrash 
2013-03 	Duel Decks: Sorin vs. Tibalt 
2013-05 	'Dragon''s Maze '
2013-06 	Modern Masters
2013-07 	Magic 2014 Core Set
2013-08 	From the Vault: Twenty 
2013-09 	Duel Decks: Heroes vs. Monsters 
2013-09 	Theros 
2013-11 	Commander 2013 Edition
2014-02 	Born of the Gods 
2014-03 	Duel Decks: Jace vs. Vraska 
2014-05 	Journey into Nyx 
2014-05 	Modern Event Deck 
2014-06 	Conspiracy 
2014-06 	Vintage Masters 
2014-07 	Magic 2015 
2014-08 	From the Vault: Annihilation 
2014-10 	Duel Decks: Speed vs. Cunning 
2014-10 	Khans of Tarkir 
2014-11 	Commander 2014 Edition
2014-12 	Duel Decks Anthology: Jace vs. Chandra
2014-12 	Duel Decks Anthology: Divine vs. Demonic
2014-12 	Duel Decks Anthology: Elves vs. Goblins
2014-12 	Duel Decks Anthology: Garruk vs. Liliana
2015-01 	Fate Reforged 
2015-02 	Duel Decks: Kiora vs. Elspeth 
2015-03 	Dragons of Tarkir 
2015-05 	Tempest Remastered 
2015-05 	Modern Masters 2015 Edition
2015-07 	Magic Origins 
2015-08 	From the Vault: Angels 
2015-08 	Duel Decks: Zendikar vs. Eldrazi 
2015-10 	Battle for Zendikar 
2015-10	Zendikar Expeditions 
2015-11 	Commander 2015 
2015-11 	Legendary Cube 
2016-01 	Oath of the Gatewatch 
2016-02 	Duel Decks: Blessed vs. Cursed 
2016-04 	Shadows over Innistrad 
